imm_id	mitocore_id	subsystem	ec-code
2OXOADOXm	GCCcm	Lysine Metabolism	1.8.1.4
34DHALDD	r0464c_MitoCore	Tyrosine metabolism	1.2.1.3
34DHALDD	ABUTD	Tyrosine metabolism	1.2.1.3
34DHALDD	NABTNOm	Tyrosine metabolism	1.2.1.3
34DHALDD	ALDD2xm	Tyrosine metabolism	1.2.1.3
34DHALDD	ALDD2x	Tyrosine metabolism	1.2.1.3
34HPPOR	34HPPOR	Tyrosine metabolism	1.13.11.27
3HAO	3HAO	Tryptophan metabolism	1.13.11.6
3HXKYNOXDA	APRTO2m_MitoCore	Tryptophan metabolism	1.4.3.4
3HXKYNOXDA	AACTOORm_MitoCore	Tryptophan metabolism	1.4.3.4
3MOXTYROX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
3MOXTYROX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
3SALATAi	ASPTA	Cysteine Metabolism	2.6.1.1
3SALATAi	ASPTAm	Cysteine Metabolism	2.6.1.1
3SALATAi	3SALATAi	Cysteine Metabolism	2.6.1.1
3SALATAi	CYSTA	Cysteine Metabolism	2.6.1.1
3SALATAi	CYSTAm	Cysteine Metabolism	2.6.1.1
3SALATAim	ASPTA	Cysteine Metabolism	2.6.1.1
3SALATAim	ASPTAm	Cysteine Metabolism	2.6.1.1
3SALATAim	3SALATAi	Cysteine Metabolism	2.6.1.1
3SALATAim	CYSTA	Cysteine Metabolism	2.6.1.1
3SALATAim	CYSTAm	Cysteine Metabolism	2.6.1.1
41R1H2MAE12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
41R1H2MAE12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
41R2A1H12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
41R2A1H12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
42A12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
42A12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
4HGLSDm	r0074	Arginine and Proline Metabolism	1.2.1.88
5HOXINDACTOX	r0464c_MitoCore	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ABUTD	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	NABTNOm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ALDD2xm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ALDD2x	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	r0464c_MitoCore	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ABUTD	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	NABTNOm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ALDD2xm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ALDD2x	Tryptophan metabolism	1.2.1.3
5HOXINOXDA	PTRCOX1	Tryptophan metabolism	1.4.3.22
5HOXINOXDA	APRTO2m_MitoCore	Tryptophan metabolism	1.4.3.4
5HOXINOXDA	AACTOORm_MitoCore	Tryptophan metabolism	1.4.3.4
5HXKYNOXDA	APRTO2m_MitoCore	Tryptophan metabolism	1.4.3.4
5HXKYNOXDA	AACTOORm_MitoCore	Tryptophan metabolism	1.4.3.4
AACTOOR	APRTO2m_MitoCore	Glycine, Serine, and Threonine Metabolism	1.4.3.4
AACTOOR	AACTOORm_MitoCore	Glycine, Serine, and Threonine Metabolism	1.4.3.4
AADSACYCL	AASAD3m	Lysine Metabolism	1.2.1.31
AADSACYCL	R03103_MitoCore	Lysine Metabolism	1.2.1.31
AADSACYCL	RE1254C	Lysine Metabolism	1.4.1.18
AADSACYCL	r0594	Lysine Metabolism	1.2.1.31
AASAD3	AASAD3m	Lysine Metabolism	1.2.1.31
AASAD3	R03103_MitoCore	Lysine Metabolism	1.2.1.31
AASAD3	r0594	Lysine Metabolism	1.2.1.31
AASAD3m	AASAD3m	Lysine Metabolism	1.2.1.31
AASAD3m	R03103_MitoCore	Lysine Metabolism	1.2.1.31
AASAD3m	r0594	Lysine Metabolism	1.2.1.31
AATA	r0450	Lysine Metabolism	2.6.1.39
ABTArm	ABTArm	Glutamate metabolism	2.6.1.19
ABTArm	APAT2rm	Glutamate metabolism	2.6.1.19
ABUTD	r0464c_MitoCore	beta-Alanine metabolism	1.2.1.3
ABUTD	ABUTD	beta-Alanine metabolism	1.2.1.3
ABUTD	NABTNOm	beta-Alanine metabolism	1.2.1.3
ABUTD	ALDD2xm	beta-Alanine metabolism	1.2.1.3
ABUTD	ALDD2x	beta-Alanine metabolism	1.2.1.3
ACITL	ACITLm_MitoCore	Citric Acid Cycle	2.3.3.8
ACITL	ACITL	Citric Acid Cycle	2.3.3.8
ACACT1r_copy1	ACACT1rm	Cholesterol Metabolism	2.3.1.9
ACACT10m	r0724	Valine, Leucine, and Isoleucine Metabolism	2.3.1.16
ACACT10m	r0634	Valine, Leucine, and Isoleucine Metabolism	2.3.1.16
ACACT10m	r0732	Valine, Leucine, and Isoleucine Metabolism	2.3.1.16
ACACT10m	r0287	Valine, Leucine, and Isoleucine Metabolism	2.3.1.16
ACACT10m	ACACT1rm	Valine, Leucine, and Isoleucine Metabolism	2.3.1.9
ACACT10m	ACACT10m	Valine, Leucine, and Isoleucine Metabolism	2.3.1.16
ACACT1r_copy2	ACACT1rm	Tryptophan metabolism	2.3.1.9
ACACT1m	ACACT1rm	Tryptophan metabolism	2.3.1.9
ACACT1x	ACACT1rm	Cholesterol Metabolism	2.3.1.9
ACACT4p	r0724	Fatty Acid Metabolism	2.3.1.16
ACACT4p	r0634	Fatty Acid Metabolism	2.3.1.16
ACACT4p	r0732	Fatty Acid Metabolism	2.3.1.16
ACACT4p	r0287	Fatty Acid Metabolism	2.3.1.16
ACACT4p	ACACT1rm	Fatty Acid Metabolism	2.3.1.9
ACACT4p	ACACT10m	Fatty Acid Metabolism	2.3.1.16
ACACT5p	ACACT1rm	Fatty Acid Metabolism	2.3.1.9
ACACT6p	r0724	Fatty Acid Metabolism	2.3.1.16
ACACT6p	r0634	Fatty Acid Metabolism	2.3.1.16
ACACT6p	r0732	Fatty Acid Metabolism	2.3.1.16
ACACT6p	r0287	Fatty Acid Metabolism	2.3.1.16
ACACT6p	ACACT1rm	Fatty Acid Metabolism	2.3.1.9
ACACT6p	ACACT10m	Fatty Acid Metabolism	2.3.1.16
ACACT7p	r0724	Fatty Acid Metabolism	2.3.1.16
ACACT7p	r0634	Fatty Acid Metabolism	2.3.1.16
ACACT7p	r0732	Fatty Acid Metabolism	2.3.1.16
ACACT7p	r0287	Fatty Acid Metabolism	2.3.1.16
ACACT7p	ACACT1rm	Fatty Acid Metabolism	2.3.1.9
ACACT7p	ACACT10m	Fatty Acid Metabolism	2.3.1.16
ACOAD1fm	r0603	Butanoate Metabolism	1.3.8.1
ACOAD1fm	r0560	Butanoate Metabolism	1.3.8.1
ACOAD8m	r0655	Valine, Leucine, and Isoleucine Metabolism	1.3.8.4
ACOAH	ACOAHi	Pyruvate Metabolism	3.1.2.1
ACOATA	ACOATA	Fatty Acid Metabolism	2.3.1.38
ACOATA	r0678	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0691	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0681	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0682	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0760	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0761	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0762	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0763	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0764	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0694	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0695	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0765	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0766	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0692	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0693	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0767	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0768	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0769	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0770	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0712	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0713	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0701	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0702	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0771	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0772	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0696	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0697	Fatty Acid Metabolism	2.3.1.85
ACOATA	r0773	Fatty Acid Metabolism	2.3.1.85
ACONT	ACONTm	Citric Acid Cycle	4.2.1.3
ACONT	ACONT	Citric Acid Cycle	4.2.1.3
ACONTm	ACONTm	Citric Acid Cycle	4.2.1.3
ACONTm	ACONT	Citric Acid Cycle	4.2.1.3
ACCOAC	ACCOAC	Fatty Acid Metabolism	6.4.1.2
ACCOACrm	ACCOAC	Fatty Acid Metabolism	6.4.1.2
ACS	ACCOALm	Glycolysis/Gluconeogenesis	6.2.1.1
ACS	ACSm	Glycolysis/Gluconeogenesis	6.2.1.1
ACS	ACS	Glycolysis/Gluconeogenesis	6.2.1.1
ACSm	ACCOALm	Glycolysis/Gluconeogenesis	6.2.1.1
ACSm	ACSm	Glycolysis/Gluconeogenesis	6.2.1.1
ACSm	ACS	Glycolysis/Gluconeogenesis	6.2.1.1
ADNK1	ADNK1	Nucleotides	2.7.1.20
ADNK1m	ADNK1	Nucleotides	2.7.1.20
ADK1	ADK1m	Nucleotides	2.7.4.3
ADK1	ADK1	Nucleotides	2.7.4.3
ADSL1r	ADSL1	Nucleotides	4.3.2.2
ADSL2r	ADSL1	IMP Biosynthesis	4.3.2.2
ADSS	ADSS	Nucleotides	6.3.4.4
AM6SAD	r0645	Tryptophan metabolism	1.2.1.32
AGMTm	AGMTm	Arginine and Proline Metabolism	3.5.3.11
AMCOXO	AMCOXO	Tryptophan metabolism	1.5.1.-
AMCOXO	AMCOXO2_MitoCore	Tryptophan metabolism	1.5.1.-
AMPDA	AMPD1	Nucleotides	3.5.4.6
AMPTASECG	AMPTASECG	Glutathione Metabolism	3.4.11.2
AMPTASECGe	AMPTASECG	Glutathione Metabolism	3.4.11.2
APAT2rm	ABTArm	beta-Alanine metabolism	2.6.1.19
APAT2rm	APAT2rm	beta-Alanine metabolism	2.6.1.19
APRTO2	APRTO2m_MitoCore	Arginine and Proline Metabolism	1.4.3.4
APRTO2	AACTOORm_MitoCore	Arginine and Proline Metabolism	1.4.3.4
AHCi	AHC	Methionine Metabolism	3.3.1.1
ARABR	ALCD2yf	Pentose and Glucuronate Interconversions	1.1.1.2
ARGDCm	ARGDCm	Arginine and Proline Metabolism	4.1.1.19
ARGN	ARGN	Urea cycle/amino group metabolism	3.5.3.1
ARGN	ARGNm	Urea cycle/amino group metabolism	3.5.3.1
ARGNm	ARGN	Urea cycle/amino group metabolism	3.5.3.1
ARGNm	ARGNm	Urea cycle/amino group metabolism	3.5.3.1
ARGSL	ARGSL	Alanine and Aspartate Metabolism	4.3.2.1
ARGSS	ARGSS	Alanine and Aspartate Metabolism	6.3.4.5
ASNNm	r0127	Alanine and Aspartate Metabolism	3.5.1.1
ASNS1	ASNS1	Alanine and Aspartate Metabolism	6.3.5.4
ASP1DC	GLUDC	beta-Alanine metabolism	4.1.1.15
ASP1DC	ASP1DC	beta-Alanine metabolism	4.1.1.11
ATPtm	NDPK1m	Transport, Mitochondrial	2.7.4.6
ATPtm	NDPK1	Transport, Mitochondrial	2.7.4.6
ATPtm	NDPK3m	Transport, Mitochondrial	2.7.4.6
BDHm	BDHm	Butanoate Metabolism	1.1.1.30
CK	CKc	Urea cycle/amino group metabolism	2.7.3.2
CK	CK	Urea cycle/amino group metabolism	2.7.3.2
CKc	CKc	Urea cycle/amino group metabolism	2.7.3.2
CKc	CK	Urea cycle/amino group metabolism	2.7.3.2
CYSLYSL	CYSTGL	Cysteine Metabolism	4.4.1.1
CYSLYSL	r0193	Cysteine Metabolism	4.4.1.1
CYSO	CYSO	Taurine and hypotaurine metabolism	1.13.11.20
CYSTA	ASPTA	Cysteine Metabolism	2.6.1.1
CYSTA	ASPTAm	Cysteine Metabolism	2.6.1.1
CYSTA	3SALATAi	Cysteine Metabolism	2.6.1.1
CYSTA	CYSTA	Cysteine Metabolism	2.6.1.1
CYSTA	CYSTAm	Cysteine Metabolism	2.6.1.1
CYSTAm	ASPTA	Cysteine Metabolism	2.6.1.1
CYSTAm	ASPTAm	Cysteine Metabolism	2.6.1.1
CYSTAm	3SALATAi	Cysteine Metabolism	2.6.1.1
CYSTAm	CYSTA	Cysteine Metabolism	2.6.1.1
CYSTAm	CYSTAm	Cysteine Metabolism	2.6.1.1
CYSTGL	CYSTGL	Cysteine Metabolism	4.4.1.1
CYSTGL	r0193	Cysteine Metabolism	4.4.1.1
CYSTS	CYSTS	Methionine Metabolism	4.2.1.22
CYTK1	CYTK1m	Nucleotides	2.7.4.14
CYTK1m	CYTK1m	Nucleotides	2.7.4.14
CYTK1n	CYTK1m	Nucleotides	2.7.4.14
CYTK2	CYTK1m	Nucleotides	2.7.4.14
CYTK2n	CYTK1m	Nucleotides	2.7.4.14
ECOAH12m	r0660	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	r0728	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	r0731	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	r0734	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	ECOAH1m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	ECOAH9m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH12m	ECOAH12m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH1m	r0660	Tryptophan metabolism	4.2.1.17
ECOAH1m	r0728	Tryptophan metabolism	4.2.1.17
ECOAH1m	r0731	Tryptophan metabolism	4.2.1.17
ECOAH1m	r0734	Tryptophan metabolism	4.2.1.17
ECOAH1m	ECOAH1m	Tryptophan metabolism	4.2.1.17
ECOAH1m	ECOAH9m	Tryptophan metabolism	4.2.1.17
ECOAH1m	ECOAH12m	Tryptophan metabolism	4.2.1.17
ECOAH1x	r0660	Tryptophan metabolism	4.2.1.17
ECOAH1x	r0728	Tryptophan metabolism	4.2.1.17
ECOAH1x	r0731	Tryptophan metabolism	4.2.1.17
ECOAH1x	r0734	Tryptophan metabolism	4.2.1.17
ECOAH1x	ECOAH1m	Tryptophan metabolism	4.2.1.17
ECOAH1x	ECOAH9m	Tryptophan metabolism	4.2.1.17
ECOAH1x	ECOAH12m	Tryptophan metabolism	4.2.1.17
ECOAH9m	r0660	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	r0728	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	r0731	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	r0734	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	ECOAH1m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	ECOAH9m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ECOAH9m	ECOAH12m	Valine, Leucine, and Isoleucine Metabolism	4.2.1.17
ENO	ENO	Glycolysis/Gluconeogenesis	4.2.1.11
FA140ACPHi	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FA141ACPHi	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FA160ACPHi	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FA161ACPHi	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FA180ACPH	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FA181ACPH	FA160ACPH	Fatty Acid Metabolism	3.1.2.14
FACOAL160	FACOAL160i	Fatty acid activation	6.2.1.3
FACOAL180	FACOAL160i	Fatty acid activation	6.2.1.3
ASPTA	ASPTA	Alanine and Aspartate Metabolism	2.6.1.1
ASPTA	ASPTAm	Alanine and Aspartate Metabolism	2.6.1.1
ASPTA	3SALATAi	Alanine and Aspartate Metabolism	2.6.1.1
ASPTA	CYSTA	Alanine and Aspartate Metabolism	2.6.1.1
ASPTA	CYSTAm	Alanine and Aspartate Metabolism	2.6.1.1
ASPTAm	ASPTA	Alanine and Aspartate Metabolism	2.6.1.1
ASPTAm	ASPTAm	Alanine and Aspartate Metabolism	2.6.1.1
ASPTAm	3SALATAi	Alanine and Aspartate Metabolism	2.6.1.1
ASPTAm	CYSTA	Alanine and Aspartate Metabolism	2.6.1.1
ASPTAm	CYSTAm	Alanine and Aspartate Metabolism	2.6.1.1
ATP1ter	NDPK1m	Transport, Endoplasmic Reticular	2.7.4.6
ATP1ter	NDPK1	Transport, Endoplasmic Reticular	2.7.4.6
ATP1ter	NDPK3m	Transport, Endoplasmic Reticular	2.7.4.6
BILIRED	BILIRED	Heme Degradation	1.3.1.24
BILIRED	BILIRED2_MitoCore	Heme Degradation	1.3.1.24
C160CPT1	C160CPT1	Carnitine shuttle	2.3.1.21
C160CPT1	C160CPT2	Carnitine shuttle	2.3.1.21
C160CPT2	C160CPT1	Carnitine shuttle	2.3.1.21
C160CPT2	C160CPT2	Carnitine shuttle	2.3.1.21
C2M26DCOAHLm	r0660	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	r0728	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	r0731	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	r0734	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	ECOAH1m	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	ECOAH9m	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLm	ECOAH12m	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	r0660	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	r0728	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	r0731	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	r0734	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	ECOAH1m	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	ECOAH9m	Limonene and pinene degradation	4.2.1.17
C2M26DCOAHLx	ECOAH12m	Limonene and pinene degradation	4.2.1.17
CBPSam	CBPSam	Glutamate metabolism	6.3.4.16
CPPPGO	CPPPGO	Heme Biosynthesis	1.3.3.3
CSm	CSm	Citric Acid Cycle	2.3.3.1
CYOOm2	CIV_MitoCore		1.9.3.1
DHFR	FOLR2	Folate Metabolism	1.5.1.3
DHFR	DHFR	Folate Metabolism	1.5.1.3
DHFR	r0514	Folate Metabolism	1.5.1.3
DHFR	r0226	Folate Metabolism	1.5.1.3
